"Familia","Binomio","N. Fontes","Flora e Funga do Brasil, 2014","Cardoso et all, 2017","Arieira et all, 2021","wcvp_plant_name_id","wcvp_taxon_rank","wcvp_taxon_status","wcvp_family","wcvp_taxon_name","wcvp_taxon_authors","wcvp_accepted_plant_name_id","wcvp_reviewed","wcvp_searchedName","wcvp_taxon_status_of_searchedName","wcvp_plant_name_id_of_searchedName","wcvp_taxon_authors_of_searchedName","wcvp_searchNotes","fb2020_taxonID","fb2020_acceptedNameUsageID","fb2020_scientificName","fb2020_taxonRank","fb2020_scientificNameAuthorship","fb2020_taxonomicStatus","fb2020_nomenclaturalStatus","fb2020_scientificNamewithoutAuthorship","fb2020_searchNotes","categoria_Ameaca_Portaria_443"
"Fabaceae","Dinizia excelsa",2,1,,1,2768777,"Species","Accepted","Fabaceae","Dinizia excelsa","Ducke",2768777,"Y","Dinizia excelsa",,,,"Accepted",78854,,"Dinizia excelsa Ducke","ESPECIE","Ducke","NOME_ACEITO","NOME_CORRETO","Dinizia excelsa","NOME_ACEITO",
"Fabaceae","Diplotropis brasiliensis",2,1,,1,2771394,"Species","Accepted","Fabaceae","Diplotropis brasiliensis","(Tul.) Benth.",2771394,"Y","Diplotropis brasiliensis",,,,"Accepted",83112,,"Diplotropis brasiliensis (Tul.) Benth.","ESPECIE","(Tul.) Benth.","NOME_ACEITO","NOME_CORRETO","Diplotropis brasiliensis","NOME_ACEITO",
"Fabaceae","Diplotropis martiusii",2,1,,1,2771402,"Species","Accepted","Fabaceae","Diplotropis martiusii","Benth.",2771402,"Y","Diplotropis martiusii",,,,"Accepted",83113,,"Diplotropis martiusii Benth.","ESPECIE","Benth.","NOME_ACEITO","NOME_CORRETO","Diplotropis martiusii","NOME_ACEITO",
"Fabaceae","Diplotropis peruviana",2,1,,1,2771404,"Species","Accepted","Fabaceae","Diplotropis peruviana","J.F.Macbr.",2771404,"Y","Diplotropis peruviana",,,,"Accepted",22950,,"Diplotropis peruviana J.F.Macbr.","ESPECIE","J.F.Macbr.","NOME_ACEITO","NOME_CORRETO","Diplotropis peruviana","NOME_ACEITO",
"Fabaceae","Diplotropis purpurea",2,1,,1,2771405,"Species","Accepted","Fabaceae","Diplotropis purpurea","(Rich.) Amshoff",2771405,"Y","Diplotropis purpurea",,,,"Accepted",22951,,"Diplotropis purpurea (Rich.) Amshoff","ESPECIE","(Rich.) Amshoff","NOME_ACEITO","NOME_CORRETO","Diplotropis purpurea","NOME_ACEITO",
"Fabaceae","Diplotropis rigidocarpa",1,,,1,2771417,"Species","Accepted","Fabaceae","Diplotropis rigidocarpa","H.C.Lima",2771417,"Y","Diplotropis rigidocarpa",,,,"Accepted",,,,,,,,,"Not found",
"Fabaceae","Diplotropis rodriguesii",2,1,,1,2771418,"Species","Accepted","Fabaceae","Diplotropis rodriguesii","H.C.Lima",2771418,"Y","Diplotropis rodriguesii",,,,"Accepted",83118,,"Diplotropis rodriguesii H.C.Lima","ESPECIE","H.C.Lima","NOME_ACEITO","NOME_CORRETO","Diplotropis rodriguesii","NOME_ACEITO",
"Fabaceae","Diplotropis strigulosa",1,,,1,2771419,"Species","Accepted","Fabaceae","Diplotropis strigulosa","R.S.Cowan",2771419,"Y","Diplotropis strigulosa",,,,"Accepted",,,,,,,,,"Not found",
"Fabaceae","Diplotropis triloba",2,1,,1,2771421,"Species","Accepted","Fabaceae","Diplotropis triloba","Gleason",2771421,"Y","Diplotropis triloba",,,,"Accepted",83119,,"Diplotropis triloba Gleason","ESPECIE","Gleason","NOME_ACEITO","NOME_CORRETO","Diplotropis triloba","NOME_ACEITO",
"Fabaceae","Dipteryx alata",1,,,1,2772312,"Species","Accepted","Fabaceae","Dipteryx alata","Vogel",2772312,"Y","Dipteryx alata",,,,"Accepted",29628,,"Dipteryx alata Vogel","ESPECIE","Vogel","NOME_ACEITO","NOME_CORRETO","Dipteryx alata","NOME_ACEITO",
