"traitID","unitOfMeasure","methodsID","value","family","species","sourceID","initialYearSampling","initialMonthSampling","initialDaySampling","finalYearSampling","finalMonthSampling","finalDaySampling","seasons","weatherAnomaly","lifeStage","country","stateProvince","municipality","localidade","decimalLatitude","decimalLongitude","altitude","typeVegatation","notes"
"Ψ88","","","-7.3","Violaceae","Rinourea passourea","Barros et all 2019",2015,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:5"
"Ψ88","","","-5.13","Fabaceae","Tachigali chrysophylla","Barros et all 2019",2015,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:2"
"ΨnonENSO","","","-2.12","Violaceae","Amphyrrhox longifolia","Barros et all 2019",2014,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:5"
"ΨnonENSO","","","-2.68","Fabaceae","Chamaecrista xinguensis","Barros et all 2019",2014,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:3"
"ΨnonENSO","","","-2.25","Rubiaceae","Coussarea albescens","Barros et all 2019",2014,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:3"
"ΨnonENSO","","","-1.1","Humiriaceae","Endopleura uchi","Barros et all 2019",2014,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:2"
"ΨnonENSO","","","-1.22","Vochysiaceae","Erisma unsinatum","Barros et all 2019",2014,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:3"
"ΨnonENSO","","",,"Sapotaceae","Manilkara huberi","Barros et all 2019",2014,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:3"
"ΨnonENSO","","","-1.64","Lauraceae","Mezilaurus itauba","Barros et all 2019",2014,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:2"
"ΨnonENSO","","","-1.96","Melastomataceae","Miconia lepidota","Barros et all 2019",2014,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:3"
"ΨnonENSO","","",,"Olacaceae","Minquartia guianensis","Barros et all 2019",2014,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:NA"
"ΨnonENSO","","","-1.38","Burseraceae","Protium apiculatum","Barros et all 2019",2014,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:3"
"ΨnonENSO","","","-2.58","Violaceae","Rinourea passourea","Barros et all 2019",2014,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:5"
"ΨnonENSO","","",,"Fabaceae","Tachigali chrysophylla","Barros et all 2019",2014,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:2"
"ΨENSO","","","-1.93","Violaceae","Amphyrrhox longifolia","Barros et all 2019",2015,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:5"
"ΨENSO","","","-2.58","Fabaceae","Chamaecrista xinguensis","Barros et all 2019",2015,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:3"
"ΨENSO","","","-3.21","Rubiaceae","Coussarea albescens","Barros et all 2019",2015,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:3"
"ΨENSO","","","-1.62","Humiriaceae","Endopleura uchi","Barros et all 2019",2015,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:2"
"ΨENSO","","","-1.06","Vochysiaceae","Erisma unsinatum","Barros et all 2019",2015,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:3"
"ΨENSO","","",,"Sapotaceae","Manilkara huberi","Barros et all 2019",2015,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:3"
"ΨENSO","","","-1.98","Lauraceae","Mezilaurus itauba","Barros et all 2019",2015,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:2"
"ΨENSO","","","-3.01","Melastomataceae","Miconia lepidota","Barros et all 2019",2015,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:3"
"ΨENSO","","",,"Olacaceae","Minquartia guianensis","Barros et all 2019",2015,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:NA"
"ΨENSO","","","-1.29","Burseraceae","Protium apiculatum","Barros et all 2019",2015,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:3"
"ΨENSO","","","-4.43","Violaceae","Rinourea passourea","Barros et all 2019",2015,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:5"
"ΨENSO","","",,"Fabaceae","Tachigali chrysophylla","Barros et all 2019",2015,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:2"
"VD","","","1005.1","Violaceae","Amphyrrhox longifolia","Barros et all 2019",2015,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:5"
